epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8441.37,1.33762,0.83204,0.98204,0.64738,0.384,0.41705,0.23056,1.29091,0.74574,0.95125,0.005842,0.005842,0.005842
44,9783.93,1.33566,0.83169,0.98122,0.64845,0.38624,0.41784,0.23088,1.29029,0.74506,0.95096,0.005743,0.005743,0.005743
45,11126.1,1.33617,0.82899,0.98106,0.65143,0.38558,0.41839,0.23122,1.28968,0.74433,0.95068,0.005644,0.005644,0.005644
46,12428.8,1.33297,0.82773,0.98088,0.6535,0.38562,0.41921,0.23174,1.28913,0.74363,0.95048,0.005545,0.005545,0.005545
47,13847.3,1.33249,0.82691,0.97986,0.65741,0.38491,0.42003,0.23217,1.28845,0.74293,0.95019,0.005446,0.005446,0.005446
48,15221.5,1.3327,0.82489,0.9799,0.65875,0.38492,0.42109,0.23236,1.28787,0.74224,0.94993,0.005347,0.005347,0.005347
49,16640.2,1.32747,0.82154,0.97839,0.65356,0.38754,0.42172,0.23255,1.28724,0.74152,0.94961,0.005248,0.005248,0.005248
50,17929.4,1.33002,0.82386,0.97931,0.65395,0.38803,0.42224,0.23293,1.28661,0.74096,0.94935,0.005149,0.005149,0.005149
51,19322.9,1.32852,0.82238,0.97819,0.65437,0.38849,0.42252,0.23339,1.28595,0.74029,0.94903,0.00505,0.00505,0.00505
52,1322.13,1.31978,0.8125,0.97523,0.65579,0.3876,0.42316,0.23384,1.28555,0.7397,0.94875,0.004951,0.004951,0.004951
53,2589.98,1.32356,0.8177,0.97704,0.65619,0.38965,0.42426,0.23417,1.28503,0.73917,0.9486,0.004852,0.004852,0.004852
54,3855,1.32509,0.81825,0.97774,0.6578,0.38886,0.42452,0.23437,1.28472,0.73869,0.94851,0.004753,0.004753,0.004753
55,5109.07,1.32274,0.81627,0.97628,0.6541,0.38862,0.42484,0.23477,1.28421,0.73817,0.94829,0.004654,0.004654,0.004654
56,6388.4,1.32065,0.81334,0.9759,0.6545,0.38975,0.42519,0.23505,1.28384,0.73773,0.94806,0.004555,0.004555,0.004555
57,7613.75,1.32185,0.8147,0.97598,0.65561,0.38997,0.42562,0.2351,1.28336,0.73736,0.94778,0.004456,0.004456,0.004456
58,8837.97,1.32059,0.81427,0.97533,0.65672,0.3906,0.42566,0.23542,1.28286,0.73688,0.94756,0.004357,0.004357,0.004357
59,10070,1.32056,0.81182,0.97534,0.65799,0.39043,0.42664,0.23569,1.28239,0.73644,0.9473,0.004258,0.004258,0.004258
60,11313.5,1.31768,0.81116,0.97467,0.66297,0.38826,0.42735,0.2359,1.28197,0.73593,0.94705,0.004159,0.004159,0.004159
61,12607.5,1.31738,0.81038,0.97333,0.66217,0.38855,0.42813,0.23634,1.28149,0.73539,0.94668,0.00406,0.00406,0.00406
62,13907.9,1.31796,0.80892,0.9736,0.65994,0.3892,0.42858,0.23688,1.28106,0.73516,0.94637,0.003961,0.003961,0.003961
